,CarName,CarMileage,CarPrice,CarBadge,CarDealer,CarRating,CarReviewCount,PageNumb
187,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",9
188,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),9
189,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",10
190,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),10
191,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),10
192,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),10
193,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),10
194,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",10
195,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),10
196,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),10
197,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),10
198,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,10
199,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",10
200,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),10
201,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",10
202,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),10
203,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",10
204,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),10
205,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),10
206,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",10
207,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),10
208,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),10
209,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",10
210,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",11
211,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),11
212,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),11
213,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),11
214,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),11
215,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),11
216,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",11
217,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),11
218,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),11
219,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",11
220,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",11
221,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",11
222,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),11
223,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),11
224,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),11
225,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,11
226,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",11
227,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),11
228,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",11
229,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),11
230,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",11
231,2019 Ford Edge Titanium,"27,056 mi.","$33,999","Good Deal | $1,088 under","
Cornerstone Plymouth
",4.6,(173 reviews),12
232,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),12
233,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),12
234,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),12
235,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),12
236,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),12
237,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),12
238,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",12
239,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),12
240,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),12
241,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",12
242,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),12
243,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",12
244,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",12
245,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),12
246,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",12
247,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),12
248,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",12
249,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),12
250,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),12
251,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,12
252,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",13
253,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),13
254,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),13
255,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),13
256,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),13
257,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),13
258,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",13
259,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),13
260,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),13
261,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",13
262,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),13
263,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),13
264,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",13
265,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",13
266,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",13
267,2021 Mazda Mazda6 Carbon Edition,"9,815 mi.","$33,998",Good Deal,"
CarMax Spokane - Now offering Curbside Pickup
",5.0,(1 review),13
268,2010 BMW X3 xDrive30i,"89,728 mi.","$12,440",Fair Deal,"
Kuni BMW
",4.7,"(1,397 reviews)",13
269,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),13
270,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),13
271,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),13
272,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,13
273,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",14
274,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),14
275,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),14
276,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),14
277,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),14
278,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),14
279,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),14
280,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",14
281,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),14
282,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),14
283,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",14
284,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),14
285,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",14
286,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",14
287,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),14
288,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",14
289,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),14
290,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",14
291,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),14
292,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),14
293,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,14
294,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",15
295,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),15
296,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),15
297,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),15
298,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),15
299,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),15
300,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",15
301,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),15
302,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",15
303,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),15
304,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",15
305,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",15
306,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),15
307,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),15
308,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",15
309,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),15
310,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",15
311,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),15
312,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),15
313,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),15
314,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",15
315,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",16
316,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),16
317,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),16
318,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),16
319,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),16
320,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),16
321,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",16
322,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),16
323,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),16
324,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",16
325,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),16
326,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),16
327,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",16
328,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",16
329,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",16
330,2021 Mazda Mazda6 Carbon Edition,"9,815 mi.","$33,998",Good Deal,"
CarMax Spokane - Now offering Curbside Pickup
",5.0,(1 review),16
331,2010 BMW X3 xDrive30i,"89,728 mi.","$12,440",Fair Deal,"
Kuni BMW
",4.7,"(1,397 reviews)",16
332,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),16
333,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),16
334,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),16
335,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,16
336,2019 Ford Edge Titanium,"27,056 mi.","$33,999","Good Deal | $1,088 under","
Cornerstone Plymouth
",4.6,(173 reviews),17
337,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),17
338,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),17
339,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),17
340,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),17
341,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),17
342,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",17
343,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),17
344,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",17
345,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),17
346,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",17
347,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",17
348,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),17
349,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),17
350,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",17
351,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),17
352,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",17
353,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),17
354,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),17
355,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),17
356,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",17
357,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",18
358,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),18
359,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),18
360,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),18
361,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),18
362,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),18
363,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),18
364,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",18
365,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),18
366,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),18
367,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),18
368,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",18
369,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",18
370,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",18
371,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),18
372,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",18
373,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),18
374,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),18
375,2020 Lincoln MKZ Hybrid Reserve,"13,881 mi.","$40,000",Good Deal,"
Way Scarff Ford in Auburn
",4.7,(586 reviews),18
376,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",18
